video_id,post_date_utc,post_datetime_utc,url,title,description,duration_sec,view_count,like_count,comment_count,share_count,save_count,in_content_tracker
7647574808162487574,2026-06-04,2026-06-04T16:16:16+00:00,https://www.tiktok.com/@docmap/video/7647574808162487574,"We all have bad periods, you just have to get used to it. Ayla first ...","We all have bad periods, you just have to get used to it. Ayla first started experiencing symptoms at 11 years old. It took years before anyone: took her seriously. This is what endo looks like in teenagers and why we need to do better",141,937,27,0,0,3,no
7647091030986165526,2026-06-03,2026-06-03T08:59:05+00:00,https://www.tiktok.com/@docmap/video/7647091030986165526,"A negative MRI does NOT mean you're in the clear! MRI is powerful, es...","A negative MRI does NOT mean you're in the clear! MRI is powerful, especially for endometriosis affecting the bowel, appendix, or pouch of Douglas, but it doesn't always correlate with what's actually found during surgery. Sometimes a two-stage procedure is needed simply because imaging didn't capture the full picture. Your symptoms are valid even when your scan says otherwise.",95,2241,39,4,1,13,no
7645351638957313302,2026-05-29,2026-05-29T16:29:10+00:00,https://www.tiktok.com/@docmap/video/7645351638957313302,@Laura | Women’s Health Creator struggled with her own endometriosis ...,"@Laura | Women’s Health Creator struggled with her own endometriosis symptoms and found herself building a community around it on TikTok. Now there are actual events. @Your Endo Events is a community project that grew from that exact moment, and if you're free on the 13th of June, the first ever London event is happening. Worth checking out 💛",65,1024,17,3,3,4,no
7644863912545881366,2026-05-28,2026-05-28T08:56:40+00:00,https://www.tiktok.com/@docmap/video/7644863912545881366,"Your MRI is only as useful as the person reading it. For endo, that m...","Your MRI is only as useful as the person reading it. For endo, that matters more than most people reglize.  #endometriosis #endoawareness",20,17500,1071,27,88,253,no
7644580086208859414,2026-05-27,2026-05-27T14:35:12+00:00,https://www.tiktok.com/@docmap/video/7644580086208859414,"Endometriosis takes. It takes your time, your energy, and life as you...","Endometriosis takes. It takes your time, your energy, and life as you knew it. But it doesn't have to be the end of the story. @Laura | Women’s Health Creator is living proof that struggle can be transformed into something powerful. She turied her experience with endometriosis into advocacy, content creation, and a nonprofit events, building a community that helps countless women navigate the same road she once walked alone. You are not alone and you don't have to stay that way. Check out @Your Endo Events - a London meetup is coming soon.",79,806,32,0,3,2,no
7644218706028956950,2026-05-26,2026-05-26T15:12:49+00:00,https://www.tiktok.com/@docmap/video/7644218706028956950,Did you know you can see an endometriosis Clinical Nurse Specialist (...,"Did you know you can see an endometriosis Clinical Nurse Specialist (CNS) online? Meet Liz Bruen, one of our CNS specialists with over 20 years of experience in endometriosis care. Book your appointment with her, link in bio.",47,643,31,0,2,14,no
7643867792634154262,2026-05-25,2026-05-25T16:31:08+00:00,https://www.tiktok.com/@docmap/video/7643867792634154262,Do you document your endo symptoms? @Laura | Women’s Health Creator l...,"Do you document your endo symptoms? @Laura | Women’s Health Creator learned that writing everything down - bowel changes, pain levels, how her cycle affected her day - gave her the clarity and confidence to advocate for herself with every GP and specialist she saw. Your symptoms deserve to be taken seriously. Documenting them is how you make sure they are. Need help organising your notes before an appointment? We can help! Chat to us on WhatsApp.",99,883,14,1,3,1,no
7643525601353075990,2026-05-24,2026-05-24T18:23:12+00:00,https://www.tiktok.com/@docmap/video/7643525601353075990,"Al can be a powerful tool when navigating endometriosis, if you know ...","Al can be a powerful tool when navigating endometriosis, if you know how to use it. @Laura | Women’s Health Creator shared how she used Al to make sense of her medical records, understand her MRI results, and ask the right questions to get referred to a specialist who finally helped her manage her endometriosis symptoms. But you don't have to figure it out alone. We can help you navigate the system, understanding your symptoms and finding the right private specialist for where you live. Just come and talk to us. We'll help you ask the right questions. Link in BlO.",80,833,14,1,1,3,no
7642386611526716694,2026-05-21,2026-05-21T16:43:21+00:00,https://www.tiktok.com/@docmap/video/7642386611526716694,Dismissed. Pushed away.  Told it was just period pain. We sat down wi...,"Dismissed. Pushed away.  Told it was just period pain. We sat down with @Laura | Women’s Health Creator - and founder of @Your Endo Events and covered everything from life with endometriosis, running a community and support group, to what she wishes she knew when she was still searching for answers. We'll be sharing it all soon, stay tuned. What were your first symptoms?",70,1159,29,2,16,3,no
7641917387201187094,2026-05-20,2026-05-20T10:22:34+00:00,https://www.tiktok.com/@docmap/video/7641917387201187094,"An endometriosis nurse, or Clinical Nurse Specialist (CNS), is someon...","An endometriosis nurse, or Clinical Nurse Specialist (CNS), is someone like a diabetic nurse - a dedicated specialist who supports patients in managing a complex, long-term condition. They offer guidance on: symptoms  treatments pain management  and emotional wellbeing. Acting as a vital link between patients and their wider medical team. Yet many people, especially those living with endometriosis, have no idea this kind of support even exists. We sat down with Liz to find out exactly what a CNS nurse does, how they can help, how the role came about, and what her virtual clinic looks like in practice. Got a question? Leave it in the comments and Liz will be happy to answer.",59,1283,40,2,5,14,no
7641554459755089154,2026-05-19,2026-05-19T10:54:20+00:00,https://www.tiktok.com/@docmap/video/7641554459755089154,"Excision, not ablation.  Liz Bruen, endometriosis CNS, explains why t...","Excision, not ablation.  Liz Bruen, endometriosis CNS, explains why this matters for your laparoscopy. She runs her own virtual clinic - link in bio.",26,8374,187,1,42,135,no
7641301413062102294,2026-05-18,2026-05-18T18:32:12+00:00,https://www.tiktok.com/@docmap/video/7641301413062102294,"You asked, Liz answered! Can endometriosis be over or under-diagnosed...","You asked, Liz answered! Can endometriosis be over or under-diagnosed on MRI? Our endo CNS breaks it down.",43,2066,31,4,0,2,no
7641128554654256387,2026-05-18,2026-05-18T07:21:35+00:00,https://www.tiktok.com/@docmap/video/7641128554654256387,Replying to @KLF2511 why your pain after the endometriosis surgery mi...,Replying to @KLF2511 why your pain after the endometriosis surgery might get worse.,49,1159,32,6,4,8,no
7640116261598350614,2026-05-15,2026-05-15T13:53:17+00:00,https://www.tiktok.com/@docmap/video/7640116261598350614,Replying to @Alice O'Neil,Replying to @Alice O'Neil,58,9595,97,12,3,24,no
7640094039668296982,2026-05-15,2026-05-15T12:27:05+00:00,https://www.tiktok.com/@docmap/video/7640094039668296982,Replying to @amorphousblob,Replying to @amorphousblob,58,1117,8,0,0,1,no
7639773005035375894,2026-05-14,2026-05-14T15:41:13+00:00,https://www.tiktok.com/@docmap/video/7639773005035375894,Replying to @Shell McPhee,Replying to @Shell McPhee,12,1343,20,5,0,4,no
7639676954576276758,2026-05-14,2026-05-14T09:28:31+00:00,https://www.tiktok.com/@docmap/video/7639676954576276758,Replying to @celine forrest,Replying to @celine forrest,28,1050,10,0,0,1,no
7639651293883206935,2026-05-14,2026-05-14T07:48:58+00:00,https://www.tiktok.com/@docmap/video/7639651293883206935,Replying to @Bec really good question!,Replying to @Bec really good question!,51,1305,22,3,2,7,no
7639345448112672022,2026-05-13,2026-05-13T12:02:05+00:00,https://www.tiktok.com/@docmap/video/7639345448112672022,We had another chat with Liz to answer some of your questions about t...,"We had another chat with Liz to answer some of your questions about the 360-degree assessment. So many of you had follow-up questions, and while we tried to reply to as many as we could, some needed Liz and her expertise to answer properly. We'll be sharing more soon, so stay tuned, and if you want to book an appointment with Liz, link in bio. Answering question from @Poppy Alice Stepto",104,1024,27,4,2,14,no
7638883805494889750,2026-05-12,2026-05-12T06:10:46+00:00,https://www.tiktok.com/@docmap/video/7638883805494889750,Endo affects 1 in 10 women. The average diagnosis takes 9 years. It's...,"Endo affects 1 in 10 women. The average diagnosis takes 9 years. It's on the list of the 20 most painful diseases. There is no cure. This is endometriosis. And it's not just a period problem. It's a symptom of something bigger: women's health has been overlooked for centuries. There's even a term for it -bikini medicine - the medical assumption that women are just like men, except for the parts a bikini covers. Everything else? Ignored. We can do better. If you're struggling with endo and don't know where to start, message us on WhatsApp. We're not doctors, but we'll help point you in the right direction. Link in BIO",36,638,29,0,0,5,no
7638541093646191894,2026-05-11,2026-05-11T08:00:54+00:00,https://www.tiktok.com/@docmap/video/7638541093646191894,It's not all doom and gloom. Researchers are now describing endometri...,"It's not all doom and gloom. Researchers are now describing endometriosis as a ""cancer-mimicking"" disease. Meaning it shares biological features with cancer in the way it grows, invades tissue, and resists treatment. This isn't just terminology. It's proof that people are actively working to change how this condition is understood and taken seriously. Liz is an Endometriosis Clinical Nurse Specialist based in Wales, offering online consultations. If you want to speak to her, link in bio.",50,1158,49,1,1,5,no
7637168703532027158,2026-05-07,2026-05-07T15:15:11+00:00,https://www.tiktok.com/@docmap/video/7637168703532027158,Endometriosis isn't just about painful periods. Chronic fatigue is on...,"Endometriosis isn't just about painful periods. Chronic fatigue is one of its most common symptoms, and one of the most dismissed, because fatigue can have so many causes, it's rarely the first thing that points doctors toward endometriosis. If you're exhausted in ways that feel bigger than your cycle, it's worth investigating. Liz is an Endometriosis Clinical Nurse Specialist who offers online consultations. Anyone needing help navigating this, she's your person. Link in bio 🔗",63,2612,97,4,7,21,no
7637061986777402646,2026-05-07,2026-05-07T08:21:07+00:00,https://www.tiktok.com/@docmap/video/7637061986777402646,"Period pain that ruins your day is not something to push through, it'...","Period pain that ruins your day is not something to push through, it's something to investigate. Conditions like endometriosis are more common than you think, and earlier diagnosis changes everything. Save this and share it with someone who needs to hear this 💕",60,614,46,2,0,5,no
7636091017875197207,2026-05-04,2026-05-04T17:33:12+00:00,https://www.tiktok.com/@docmap/video/7636091017875197207,This one is for everyone dealing with endo belly 💕 #endometriosis #en...,This one is for everyone dealing with endo belly 💕 #endometriosis #endobelly,233,7138,127,0,8,12,yes
7635716747869424918,2026-05-03,2026-05-03T17:20:52+00:00,https://www.tiktok.com/@docmap/video/7635716747869424918,8 minutes. That's sometimes all you get with your GP. If you think yo...,"8 minutes. That's sometimes all you get with your GP. If you think you have endometriosis, that's nowhere near enough time to explain everything you're feeling. If you need help to get ready for your appointment, send us a WhatsApp message and we'll help you organise your notes, symptoms and questions so you walk in prepared and nothing gets left out. Your data stays in WhatsApp, nothing is stored or shared. Ever.",39,1296,30,0,4,8,yes
7634984535372942614,2026-05-01,2026-05-01T17:59:28+00:00,https://www.tiktok.com/@docmap/video/7634984535372942614,"in 10 women has endometriosis. For most, the symptoms started as a te...","in 10 women has endometriosis. For most, the symptoms started as a teenager. It's time schools started teaching young girls that debilitating pain is NOT normal. Early education = earlier diagnosis = less suffering.",60,536,18,0,0,1,no
7634579404131241239,2026-04-30,2026-04-30T15:47:23+00:00,https://www.tiktok.com/@docmap/video/7634579404131241239,Replying to @user8575620225727  Many of you have asked about the MRI,Replying to @user8575620225727  Many of you have asked about the MRI,17,2997,71,8,7,21,no
7634568172330421526,2026-04-30,2026-04-30T15:03:48+00:00,https://www.tiktok.com/@docmap/video/7634568172330421526,Painful intercourse is one of the most common symptoms of endometrios...,"Painful intercourse is one of the most common symptoms of endometriosis and one of the most dismissed. If your GP has brushed it off, you're not alone. The difference between being heard and being sent: home is often in the details, how it impacts your daily life, your relationships, your work. The more specific you are, the harder it is to ignore..",60,1081,16,0,2,11,no
7634274846117104918,2026-04-29,2026-04-29T20:05:30+00:00,https://www.tiktok.com/@docmap/video/7634274846117104918,Why does it take 9 years on average to get an endometriosis diagnosis...,"Why does it take 9 years on average to get an endometriosis diagnosis in the UK? It's a simple question with a complicated answer, and Liz breaks it all down in part two. Liz Bruen is an Endometriosis Clinical Nurse Specialist with 20 years of experience and you can book a virtual consultation with her directly.",60,1106,51,1,1,4,yes
7633862545228434710,2026-04-28,2026-04-28T17:26:42+00:00,https://www.tiktok.com/@docmap/video/7633862545228434710,"9 years. That's how long it takes, on average, to get an endometriosi...","9 years. That's how long it takes, on average, to get an endometriosis diagnosis in the UK. And as much as the system needs to change, it's not the only reason. Awareness, language, being dismissed, not knowing what's ""normal"".  It all plays a part. Liz Bruen, Endometriosis Clinical Nurse Specialist with 20 years of experience, breaks down why the delay happens, and what you can actually do about it. Liz offers virtual consultations where she'll go through your full symptom history, help you understand your condition, and put together a care plan tailored to you. If you've been waiting, going in circles, or just need someone who actually gets it, her link is in bio.",80,1952,105,0,0,17,yes
7633495707416235286,2026-04-27,2026-04-27T17:42:04+00:00,https://www.tiktok.com/@docmap/video/7633495707416235286,Hitting a wall getting a diagnosis for endometriosis? This one is for...,"Hitting a wall getting a diagnosis for endometriosis? This one is for you. The best thing you can do is map out your symptoms. What is cyclical, what is not. Details like: this stops me from going to work or school or l'm passing out on day 1. Even if you think it's not important, write it down. And if you need help summarising your notes, or figuring out who to see privately, we have a WhatsApp just for that.  Link in bio.",42,1068,26,0,1,8,no
7632321370080152854,2026-04-24,2026-04-24T13:45:03+00:00,https://www.tiktok.com/@docmap/video/7632321370080152854,"You have approximately 8 minutes to tell your GP what's wrong, but ho...","You have approximately 8 minutes to tell your GP what's wrong, but how do you get it right? None of us enjoy going to the doctor, and the time pressure makes things worse.  You have one chance to explain your problem properly, otherwise you risk being dismissed. So what makes the difference?  Details. Make notes about your symptoms and be as specific as you can. If you're not sure where to start, we can help. We specialise in supporting patients with endometriosis, so if you're struggling to put together clear notes before your next appointment, just drop us a WhatsApp message. Link in bio.",29,5682,116,0,6,67,no
7632002231339928854,2026-04-23,2026-04-23T17:06:37+00:00,https://www.tiktok.com/@docmap/video/7632002231339928854,"Periods can be painful, but if you need strong painkillers to be able...","Periods can be painful, but if you need strong painkillers to be able to function? GET HELP! Painful periods are often one of the first and most well-known symptoms of endometriosis. But it doesn't stop there. It will progress. This is not just for those already diagnosed with endo, this is for parents, teachers and classmates too. Let's spread the awarnes about Endometriosis.  Liz Bruen was the first endometriosis nurse in Wales. She has now moved to a private virtual space, so if you want to book a consultation with her, go to the link in our bio.",35,1423,49,4,1,10,no
7631307430890048790,2026-04-21,2026-04-21T20:10:27+00:00,https://www.tiktok.com/@docmap/video/7631307430890048790,It was surprising to us how few people know about enda nurses and the...,"It was surprising to us how few people know about enda nurses and the ways they can help. We recently had the chance to chat with Liz Bruen, a private Endometriosis Clinical Nurse Specialist in Wales.  She shared some deep insights into the pain points of the system, the reality for women suffering with ends, and the significant toll it takes on mental health. Watch this space, we'll be sharing much more from our conversation soon! For those of you who have had the opportunity to work with an endo nurse: What was your experience like? Was it difficult to get access to one?",39,5803,135,4,8,46,yes
7631220659770690818,2026-04-21,2026-04-21T14:34:07+00:00,https://www.tiktok.com/@docmap/video/7631220659770690818,Responding to a question from today: Can someone explain why excision...,"Responding to a question from today: Can someone explain why excision, not ablation? Short answer: Surface level isn't enough. Liz Bruen (Endometriosis CNS & Surgical Assistant) explains that ablation is just ""skimming."" Treating what’s on the surface is only half the battle.  If you want to understand why endometriosis symptoms often ""re-surface"" after surgery, listen to this.",30,9982,338,13,60,183,yes
7630900114982210838,2026-04-20,2026-04-20T17:51:13+00:00,https://www.tiktok.com/@docmap/video/7630900114982210838,"This is for anyone heading into laparoscopic surgery for endo, or tho...","This is for anyone heading into laparoscopic surgery for endo, or those currently on the waiting list. We recently had the chance to chat with Liz Bruen, a private Endometriosis Clinical Nurse  Specialist in Wales. What she shared about the laparoscopy process was absolutely mind-blowing. If you would like to speak to Liz yourself, you can find prices, availability and book a zoom appointment with her directly by visiting the link in our bio!",67,325700,26100,553,4093,17800,yes
