"Date","Hour","Active followers"
"July 3","0","414"
"July 3","1","319"
"July 3","2","232"
"July 3","3","239"
"July 3","4","188"
"July 3","5","200"
"July 3","6","275"
"July 3","7","400"
"July 3","8","421"
"July 3","9","453"
"July 3","10","463"
"July 3","11","475"
"July 3","12","483"
"July 3","13","524"
"July 3","14","516"
"July 3","15","507"
"July 3","16","528"
"July 3","17","576"
"July 3","18","563"
"July 3","19","577"
"July 3","20","615"
"July 3","21","627"
"July 3","22","646"
"July 3","23","555"
"July 4","0","423"
"July 4","1","305"
"July 4","2","216"
"July 4","3","197"
"July 4","4","182"
"July 4","5","179"
"July 4","6","234"
"July 4","7","319"
"July 4","8","435"
"July 4","9","509"
"July 4","10","507"
"July 4","11","500"
"July 4","12","541"
"July 4","13","550"
"July 4","14","546"
"July 4","15","534"
"July 4","16","562"
"July 4","17","554"
"July 4","18","562"
"July 4","19","575"
"July 4","20","628"
"July 4","21","651"
"July 4","22","655"
"July 4","23","548"
"July 5","0","432"
"July 5","1","358"
"July 5","2","261"
"July 5","3","209"
"July 5","4","184"
"July 5","5","189"
"July 5","6","216"
"July 5","7","319"
"July 5","8","418"
"July 5","9","497"
"July 5","10","524"
"July 5","11","527"
"July 5","12","523"
"July 5","13","534"
"July 5","14","526"
"July 5","15","562"
"July 5","16","580"
"July 5","17","584"
"July 5","18","613"
"July 5","19","657"
"July 5","20","669"
"July 5","21","665"
"July 5","22","669"
"July 5","23","562"
"July 6","0","436"
"July 6","1","319"
"July 6","2","240"
"July 6","3","227"
"July 6","4","215"
"July 6","5","223"
"July 6","6","282"
"July 6","7","410"
"July 6","8","428"
"July 6","9","463"
"July 6","10","481"
"July 6","11","496"
"July 6","12","514"
"July 6","13","571"
"July 6","14","547"
"July 6","15","567"
"July 6","16","559"
"July 6","17","606"
"July 6","18","617"
"July 6","19","634"
"July 6","20","650"
"July 6","21","692"
"July 6","22","678"
"July 6","23","551"
"July 7","0","396"
"July 7","1","290"
"July 7","2","219"
"July 7","3","191"
"July 7","4","183"
"July 7","5","206"
"July 7","6","277"
"July 7","7","419"
"July 7","8","444"
"July 7","9","473"
"July 7","10","480"
"July 7","11","497"
"July 7","12","532"
"July 7","13","540"
"July 7","14","560"
"July 7","15","592"
"July 7","16","615"
"July 7","17","589"
"July 7","18","632"
"July 7","19","654"
"July 7","20","662"
"July 7","21","707"
"July 7","22","708"
"July 7","23","583"
"July 8","0","410"
"July 8","1","302"
"July 8","2","221"
"July 8","3","210"
"July 8","4","200"
"July 8","5","211"
"July 8","6","295"
"July 8","7","405"
"July 8","8","450"
"July 8","9","449"
"July 8","10","484"
"July 8","11","542"
"July 8","12","568"
"July 8","13","570"
"July 8","14","558"
"July 8","15","560"
"July 8","16","587"
"July 8","17","634"
"July 8","18","648"
"July 8","19","665"
"July 8","20","691"
"July 8","21","694"
"July 8","22","694"
"July 8","23","593"
"July 9","0","448"
"July 9","1","0"
"July 9","2","0"
"July 9","3","0"
"July 9","4","0"
"July 9","5","0"
"July 9","6","0"
"July 9","7","0"
"July 9","8","0"
"July 9","9","0"
"July 9","10","0"
"July 9","11","0"
"July 9","12","0"
"July 9","13","0"
"July 9","14","0"
"July 9","15","0"
"July 9","16","0"
"July 9","17","0"
"July 9","18","0"
"July 9","19","0"
"July 9","20","0"
"July 9","21","0"
"July 9","22","0"
"July 9","23","0"