"Date","Video Views","Profile Views","Likes","Comments","Shares"
"July 9","0","0","0","0","0"
"July 10","0","0","0","0","0"
"July 11","0","0","0","0","0"
"July 12","0","0","0","0","0"
"July 13","0","0","0","0","0"
"July 14","0","0","0","0","0"
"July 15","0","0","0","0","0"
"July 16","0","0","0","0","0"
"July 17","0","0","0","0","0"
"July 18","0","0","0","0","0"
"July 19","0","0","0","0","0"
"July 20","0","0","0","0","0"
"July 21","0","0","0","0","0"
"July 22","0","0","0","0","0"
"July 23","0","0","0","0","0"
"July 24","0","0","0","0","0"
"July 25","0","0","0","0","0"
"July 26","0","0","0","0","0"
"July 27","0","0","0","0","0"
"July 28","0","0","0","0","0"
"July 29","0","0","0","0","0"
"July 30","0","0","0","0","0"
"July 31","0","0","0","0","0"
"August 1","0","0","0","0","0"
"August 2","0","0","0","0","0"
"August 3","0","0","0","0","0"
"August 4","0","0","0","0","0"
"August 5","0","0","0","0","0"
"August 6","0","0","0","0","0"
"August 7","0","0","0","0","0"
"August 8","0","0","0","0","0"
"August 9","0","0","0","0","0"
"August 10","0","0","0","0","0"
"August 11","0","0","0","0","0"
"August 12","0","0","0","0","0"
"August 13","0","0","0","0","0"
"August 14","0","0","0","0","0"
"August 15","0","0","0","0","0"
"August 16","0","0","0","0","0"
"August 17","0","0","0","0","0"
"August 18","0","0","0","0","0"
"August 19","0","0","0","0","0"
"August 20","0","0","0","0","0"
"August 21","0","0","0","0","0"
"August 22","0","0","0","0","0"
"August 23","0","0","0","0","0"
"August 24","0","0","0","0","0"
"August 25","0","0","0","0","0"
"August 26","0","0","0","0","0"
"August 27","0","0","0","0","0"
"August 28","0","0","0","0","0"
"August 29","0","0","0","0","0"
"August 30","0","0","0","0","0"
"August 31","0","0","0","0","0"
"September 1","0","0","0","0","0"
"September 2","0","0","0","0","0"
"September 3","0","0","0","0","0"
"September 4","0","0","0","0","0"
"September 5","0","0","0","0","0"
"September 6","0","0","0","0","0"
"September 7","0","0","0","0","0"
"September 8","0","0","0","0","0"
"September 9","0","0","0","0","0"
"September 10","0","0","0","0","0"
"September 11","0","0","0","0","0"
"September 12","0","0","0","0","0"
"September 13","0","0","0","0","0"
"September 14","0","0","0","0","0"
"September 15","0","0","0","0","0"
"September 16","0","0","0","0","0"
"September 17","0","0","0","0","0"
"September 18","0","0","0","0","0"
"September 19","0","0","0","0","0"
"September 20","0","0","0","0","0"
"September 21","0","0","0","0","0"
"September 22","0","0","0","0","0"
"September 23","0","0","0","0","0"
"September 24","0","0","0","0","0"
"September 25","0","0","0","0","0"
"September 26","0","0","0","0","0"
"September 27","0","0","0","0","0"
"September 28","0","0","0","0","0"
"September 29","0","0","0","0","0"
"September 30","0","0","0","0","0"
"October 1","0","0","0","0","0"
"October 2","0","0","0","0","0"
"October 3","0","0","0","0","0"
"October 4","0","0","0","0","0"
"October 5","0","0","0","0","0"
"October 6","0","0","0","0","0"
"October 7","0","0","0","0","0"
"October 8","0","0","0","0","0"
"October 9","0","0","0","0","0"
"October 10","0","0","0","0","0"
"October 11","0","0","0","0","0"
"October 12","0","0","0","0","0"
"October 13","0","0","0","0","0"
"October 14","0","0","0","0","0"
"October 15","0","0","0","0","0"
"October 16","0","0","0","0","0"
"October 17","0","0","0","0","0"
"October 18","0","0","0","0","0"
"October 19","0","0","0","0","0"
"October 20","0","0","0","0","0"
"October 21","0","0","0","0","0"
"October 22","0","0","0","0","0"
"October 23","0","0","0","0","0"
"October 24","0","0","0","0","0"
"October 25","0","0","0","0","0"
"October 26","0","0","0","0","0"
"October 27","0","0","0","0","0"
"October 28","0","0","0","0","0"
"October 29","0","1","0","0","0"
"October 30","0","6","0","0","0"
"October 31","0","0","0","0","0"
"November 1","0","0","0","0","0"
"November 2","0","0","0","0","0"
"November 3","0","0","0","0","0"
"November 4","0","1","0","0","0"
"November 5","0","2","0","0","0"
"November 6","0","0","0","0","0"
"November 7","0","2","0","0","0"
"November 8","0","0","0","0","0"
"November 9","0","0","0","0","0"
"November 10","0","0","0","0","0"
"November 11","0","0","0","0","0"
"November 12","0","0","0","0","0"
"November 13","0","1","0","0","0"
"November 14","0","0","0","0","0"
"November 15","0","0","0","0","0"
"November 16","0","1","0","0","0"
"November 17","0","1","0","0","0"
"November 18","0","0","0","0","0"
"November 19","0","0","0","0","0"
"November 20","240","3","2","0","0"
"November 21","14","0","0","0","0"
"November 22","1","0","0","0","0"
"November 23","1","0","0","0","0"
"November 24","275","8","14","2","2"
"November 25","76","2","2","0","0"
"November 26","21","2","0","0","1"
"November 27","1","0","0","0","0"
"November 28","0","1","0","0","0"
"November 29","0","0","0","0","0"
"November 30","3","1","0","0","0"
"December 1","2","0","0","0","0"
"December 2","0","0","0","0","0"
"December 3","287","1","5","0","0"
"December 4","22","1","0","0","0"
"December 5","15","1","0","0","0"
"December 6","0","0","0","0","0"
"December 7","3","0","0","0","0"
"December 8","3","2","0","0","0"
"December 9","0","0","0","0","0"
"December 10","2","1","0","0","0"
"December 11","799","3","4","0","0"
"December 12","10","0","0","0","0"
"December 13","4","0","0","0","0"
"December 14","6","1","0","0","0"
"December 15","2","1","0","0","0"
"December 16","1","0","0","0","0"
"December 17","0","0","0","0","0"
"December 18","788","2","7","0","0"
"December 19","6","0","1","0","0"
"December 20","5","0","0","0","0"
"December 21","5","0","0","0","0"
"December 22","273","2","7","0","0"
"December 23","2","0","0","0","0"
"December 24","0","0","0","0","0"
"December 25","1","0","0","0","0"
"December 26","0","0","0","0","0"
"December 27","0","0","0","0","0"
"December 28","4","0","1","0","0"
"December 29","16","0","0","0","0"
"December 30","1","0","0","0","0"
"December 31","0","0","0","0","0"
"January 1","1","0","0","0","0"
"January 2","1","0","0","0","0"
"January 3","2","0","0","0","0"
"January 4","1","1","0","0","0"
"January 5","0","1","0","0","0"
"January 6","1","0","0","0","0"
"January 7","1","0","0","0","0"
"January 8","0","0","0","0","0"
"January 9","285","0","2","0","0"
"January 10","0","0","0","0","0"
"January 11","4","2","0","0","0"
"January 12","246","1","8","0","0"
"January 13","733","1","16","0","0"
"January 14","18","0","0","0","0"
"January 15","0","0","0","0","0"
"January 16","782","1","1","0","0"
"January 17","7","0","0","0","0"
"January 18","1","0","0","0","0"
"January 19","9","2","0","0","0"
"January 20","300","1","13","0","0"
"January 21","23","0","1","0","0"
"January 22","262","1","3","0","0"
"January 23","3","0","0","0","0"
"January 24","4","0","1","0","0"
"January 25","2","0","0","0","0"
"January 26","754","0","16","0","0"
"January 27","7","0","0","0","0"
"January 28","8","0","0","0","0"
"January 29","256","1","3","0","0"
"January 30","4","1","1","0","0"
"January 31","0","0","0","0","0"
"February 1","2","0","0","0","0"
"February 2","2","0","0","0","0"
"February 3","9","0","0","0","0"
"February 4","0","0","0","0","0"
"February 5","0","0","0","0","0"
"February 6","0","0","0","0","0"
"February 7","0","0","0","0","0"
"February 8","0","0","0","0","0"
"February 9","768","4","6","0","0"
"February 10","3","0","0","0","0"
"February 11","257","1","32","0","0"
"February 12","13","1","0","0","0"
"February 13","312","4","4","1","0"
"February 14","39","0","0","1","0"
"February 15","19","0","0","1","0"
"February 16","269","2","6","0","0"
"February 17","2","0","0","0","0"
"February 18","1559","8","13","0","0"
"February 19","263","3","0","0","0"
"February 20","10","8","0","0","0"
"February 21","2","2","0","0","0"
"February 22","1","0","0","0","0"
"February 23","0","1","0","0","0"
"February 24","1","0","0","0","0"
"February 25","263","2","8","0","0"
"February 26","35","0","1","0","0"
"February 27","290","3","3","0","0"
"February 28","238","2","3","0","0"
"March 1","76","2","0","0","0"
"March 2","763","2","12","0","0"
"March 3","23","0","0","0","0"
"March 4","271","0","2","0","0"
"March 5","264","2","0","0","0"
"March 6","5","0","0","0","0"
"March 7","5","0","1","0","0"
"March 8","2","0","0","0","0"
"March 9","278","1","3","0","0"
"March 10","3","0","1","0","0"
"March 11","269","0","1","0","0"
"March 12","266","1","3","0","0"
"March 13","280","2","4","0","0"
"March 14","24","0","0","0","0"
"March 15","1","0","0","0","0"
"March 16","871","12","13","0","0"
"March 17","867","2","32","0","0"
"March 18","278","3","1","0","0"
"March 19","7","0","1","0","0"
"March 20","4","0","0","0","0"
"March 21","8","0","0","0","0"
"March 22","2","0","0","0","0"
"March 23","2","0","0","0","0"
"March 24","0","0","0","0","0"
"March 25","310","1","4","0","0"
"March 26","302","0","4","0","0"
"March 27","235","2","5","0","0"
"March 28","60","0","3","0","1"
"March 29","18","0","0","0","0"
"March 30","5","1","0","0","0"
"March 31","2","0","0","0","0"
"April 1","3","0","0","0","0"
"April 2","564","0","47","0","0"
"April 3","637","1","16","0","7"
"April 4","82","0","3","0","1"
"April 5","147","0","2","0","0"
"April 6","78","0","0","0","1"
"April 7","366","3","18","0","0"
"April 8","31","0","0","0","0"
"April 9","857","3","39","0","1"
"April 10","236","1","12","2","0"
"April 11","34","0","0","0","0"
"April 12","263","0","9","0","0"
"April 13","1755","5","34","0","1"
"April 14","424","0","12","2","0"
"April 15","143","1","1","0","1"
"April 16","325","2","4","0","0"
"April 17","941","3","16","0","0"
"April 18","295","4","5","0","0"
"April 19","32","0","2","0","0"
"April 20","2331","18","162","3","21"
"April 21","89150","612","7041","184","1283"
"April 22","44136","381","3135","78","535"
"April 23","20745","178","1703","35","354"
"April 24","8293","63","511","12","104"
"April 25","8456","40","555","31","92"
"April 26","6762","32","413","7","74"
"April 27","9478","59","596","14","87"
"April 28","6273","41","449","6","63"
"April 29","5260","40","367","8","50"
"April 30","5441","44","314","12","40"
"May 1","5957","40","350","7","50"
"May 2","5077","23","337","4","37"
"May 3","7276","38","440","8","57"
"May 4","9521","46","743","11","104"
"May 5","15095","72","1124","22","158"
"May 6","8391","53","828","17","110"
"May 7","7519","38","598","15","70"
"May 8","5995","33","476","8","48"
"May 9","6676","30","481","9","61"
"May 10","7525","36","506","5","65"
"May 11","8684","49","671","5","77"
"May 12","9233","57","808","10","110"
"May 13","9593","78","742","13","102"
"May 14","8680","74","458","1","64"
"May 15","7842","61","401","0","64"
"May 16","9040","63","309","7","55"
"May 17","4184","26","292","18","31"
"May 18","5087","43","317","16","50"
"May 19","10344","48","406","11","53"
"May 20","6711","42","367","7","45"
"May 21","4990","27","243","5","48"
"May 22","3549","24","263","3","34"
"May 23","3237","17","205","2","24"
"May 24","3255","23","199","3","19"
"May 25","3938","21","191","5","27"
"May 26","3173","36","210","1","27"
"May 27","3241","26","211","3","26"
"May 28","9401","42","473","22","64"
"May 29","7029","28","418","12","37"
"May 30","4734","17","297","0","32"
"May 31","3637","24","259","4","18"
"June 1","3363","20","212","2","27"
"June 2","3788","35","241","5","43"
"June 3","5570","34","319","4","42"
"June 4","6043","29","403","2","50"
"June 5","3884","17","238","6","29"
"June 6","3045","17","169","0","42"
"June 7","3532","23","211","3","25"
"June 8","4032","35","328","2","36"
"June 9","4511","31","346","2","59"
"June 10","11760","64","893","13","121"
"June 11","33107","147","2410","47","268"
"June 12","27403","132","1664","18","162"
"June 13","28935","119","1441","48","198"
"June 14","23505","130","1204","12","117"
"June 15","12190","80","737","10","98"
"June 16","8086","38","529","8","47"
"June 17","6940","43","543","6","72"
"June 18","7915","34","521","13","60"
"June 19","5573","25","341","6","31"
"June 20","3459","19","226","6","17"
"June 21","7367","52","336","8","38"
"June 22","6021","38","303","7","45"
"June 23","5458","28","274","1","22"
"June 24","5146","19","236","3","24"
"June 25","3612","32","189","0","24"
"June 26","4097","25","187","1","19"
"June 27","2979","13","159","2","13"
"June 28","3219","12","181","4","10"
"June 29","5484","20","320","2","17"
"June 30","9129","58","367","20","41"
"July 1","8019","75","366","15","51"
"July 2","5487","29","294","4","45"
"July 3","11768","48","465","13","73"
"July 4","9626","59","375","6","59"
"July 5","8160","35","387","7","56"
"July 6","7033","33","325","3","25"
"July 7","7164","35","346","13","37"
"July 8","7001","30","382","12","25"